participant_id,trial,same_trial,response,correct,rt_ms,stepsA,stepsB,melodyA,melodyB,timestamp_ms
P_jufrrj,1,true,different,false,11628,"[3,1,3,1]","[3,1,3,1]","[57,60,61,64,65]","[57,60,61,64,65]",1756769314297
P_jufrrj,2,true,same,true,7793,"[3,-3,2,-3]","[3,-3,2,-3]","[64,67,64,66,63]","[55,58,55,57,54]",1756769314297
P_jufrrj,3,true,same,true,1213,"[1,2,-2,-3]","[1,2,-2,-3]","[62,63,65,63,60]","[63,64,66,64,61]",1756769314297
P_jufrrj,4,false,same,false,450,"[-1,3,2,1]","[-1,3,-2,1]","[56,55,58,60,61]","[62,61,64,62,63]",1756769314297
P_jufrrj,5,false,same,false,460,"[2,3,2,2]","[2,3,-2,2]","[62,64,67,69,71]","[61,63,66,64,66]",1756769314297
P_jufrrj,6,true,same,true,402,"[2,-1,2,-1]","[2,-1,2,-1]","[57,59,58,60,59]","[64,66,65,67,66]",1756769314297
P_jufrrj,7,true,same,true,354,"[-1,-3,1,3]","[-1,-3,1,3]","[60,59,56,57,60]","[56,55,52,53,56]",1756769314297
P_jufrrj,8,true,same,true,318,"[2,2,-2,3]","[2,2,-2,3]","[55,57,59,57,60]","[60,62,64,62,65]",1756769314297
P_jufrrj,9,false,same,false,323,"[-1,1,-3,2]","[-1,1,3,2]","[64,63,64,61,63]","[65,64,65,68,70]",1756769314297
P_jufrrj,10,false,same,false,736,"[3,1,-1,-2]","[3,1,-1,2]","[61,64,65,64,62]","[55,58,59,58,60]",1756769314297